,sna,tot,sbi,sarea,mday,ar,bemp,act
794,YouBike2.0_康樂抽水站,15,2,內湖區,2023-06-08 22:23:18,東湖路160巷23號,13,1
795,YouBike2.0_環山路三段16巷口,13,5,內湖區,2023-06-08 22:12:18,環山路三段/環山路三段16巷口(東南側),8,1
797,YouBike2.0_臺北花市,20,1,內湖區,2023-06-08 22:07:17,新湖三路28號前人行道,19,1
798,YouBike2.0_行善社會住宅,23,2,內湖區,2023-06-08 23:33:04,行愛路與新湖一路口西南側,21,1
799,YouBike2.0_康寧路三段99巷17弄口,15,1,內湖區,2023-06-08 23:03:03,康寧路三段99巷19號對側,14,1
800,YouBike2.0_堤頂大道二段407巷口,15,1,內湖區,2023-06-08 23:38:04,堤頂大道二段405號前,14,1
801,YouBike2.0_海德堡科技大樓,12,0,內湖區,2023-06-08 18:27:04,堤頂大道二段473號前,12,1
802,YouBike2.0_致伸科技大樓,17,0,內湖區,2023-06-08 20:01:04,瑞光路669號旁,17,1
803,YouBike2.0_內湖路一段288巷口,20,1,內湖區,2023-06-08 23:40:09,內湖路一段290號前,19,1
804,YouBike2.0_大都會客運內湖站,15,1,內湖區,2023-06-08 22:56:04,民權東路六段11巷25號對側,14,1
